"","District","SSL_Count","Crimes_Count"
"1",1,3413,190404
"2",2,8004,182159
"3",3,10686,206806
"4",4,13334,236796
"5",5,11354,181587
"6",6,12471,249786
"7",7,13983,222872
"8",8,18509,269603
"9",9,12709,191784
"10",10,13747,184442
"11",11,16397,271918
"12",12,7081,208343
"13",14,6233,149163
"14",15,11933,168098
"15",16,7114,141781
"16",17,6306,118868
"17",18,1947,195965
"18",19,4393,190961
"19",20,2920,73273
"20",22,7620,134048
"21",24,6598,124959
"22",25,17986,227644
"23",31,183946,163
"24",NA,NA,1
