"","District","Count","Mean","Median"
"1",1,3413,247.2868444184,247
"2",2,8004,283.263618190905,295
"3",3,10686,287.049316863185,297
"4",4,13334,285.440977951102,297
"5",5,11354,286.102607010745,298
"6",6,12471,283.749017721113,296
"7",7,13983,287.214546234714,298
"8",8,18509,286.108649846021,294
"9",9,12709,285.446770005508,293
"10",10,13747,284.669527896996,292
"11",11,16397,281.484295907788,291
"12",12,7081,277.961728569411,286
"13",14,6233,275.300657789187,283
"14",15,11933,283.334785887874,293
"15",16,7114,273.419173460782,285
"16",17,6306,281.174912781478,289
"17",18,1947,272.762711864407,288
"18",19,4393,265.800819485545,277
"19",20,2920,268.988698630137,277
"20",22,7620,283.256692913386,296
"21",24,6598,280.067293119127,292
"22",25,17986,280.321583453797,288
"23",31,183946,277.319479629891,288
